Abstract,Authors,Categories,Countries,Date,Day,Locations,MonthName,Publisher,SJR Best Quartile,Title,Type,Universities,WebSite,Year,_id
"Tor [Dingledine et al. 2004] is the most widely used anonymity network today, serving millions of users on a daily basis using a growing number of volunteer-run routers. Since its deployment in 2003, there have been more than three dozen proposals that aim to improve its performance, security, and unobservability. Given the significance of this research area, our goal is to provide the reader with the state of current research directions and challenges in anonymous communication systems, focusing on the Tor network. We shed light on the design weaknesses and challenges facing the network and point out unresolved issues.","[Mashael Alsabah, Ian Goldberg]",Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),"[Doha-Qatar, Canada]",21 September 2016,21,"[Qatar University and Qatar Computing Research Institute, Doha-Qatar, University of Waterloo, ON, Canada]",September,ACM Computing Surveys,Q1,ACM Computing Surveys,SURVEY,"[Qatar University and Qatar Computing Research Institute, University of Waterloo]",ACM,2016,63ae010034ac983172e7ec77
"In the current hyperconnected era, modern Information and Communication Technology (ICT) systems form sophisticated networks where not only do people interact with other people, but also machines take an increasingly visible and participatory role. Such Human-Machine Networks (HMNs) are embedded in the daily lives of people, both for personal and professional use. They can have a significant impact by producing synergy and innovations. The challenge in designing successful HMNs is that they cannot be developed and implemented in the same manner as networks of machines nodes alone, or following a wholly human-centric view of the network. The problem requires an interdisciplinary approach. Here, we review current research of relevance to HMNs across many disciplines. Extending the previous theoretical concepts of socio-technical systems, actor-network theory, cyber-physical-social systems, and social machines, we concentrate on the interactions among humans and between humans and machines. We identify eight types of HMNs: public-resource computing, crowdsourcing, web search engines, crowdsensing, online markets, social media, multiplayer online games and virtual worlds, and mass collaboration. We systematically select literature on each of these types and review it with a focus on implications for designing HMNs. Moreover, we discuss risks associated with HMNs and identify emerging design and development trends.","[Milena Tsvetkova, Taha Yasseri, Eric T. Meyer, J. Brian Pickering]",Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),"[University of Oxford, University of Oxford, University of Oxford, UK]",04 April 2017,4,"[Oxford Internet Institute, University of Oxford, Oxford Internet Institute, University of Oxford, Oxford Internet Institute, University of Oxford, IT Innovation Center, University of Southampton, Southampton, UK]",April,ACM Computing Surveys,Q1,ACM Computing Surveys,SURVEY,"[Oxford Internet Institute, Oxford Internet Institute, Oxford Internet Institute, IT Innovation Center]",ACM,2017,63ae010034ac983172e7ec78
"The Cloud computing paradigm has revolutionised the computer science horizon during the past decade and has enabled the emergence of computing as the fifth utility. It has captured significant attention of academia, industries, and government bodies. Now, it has emerged as the backbone of modern economy by offering subscription-based services anytime, anywhere following a pay-as-you-go model. This has instigated (1) shorter establishment times for start-ups, (2) creation of scalable global enterprise applications, (3) better cost-to-value associativity for scientific and high-performance computing applications, and (4) different invocation/execution models for pervasive and ubiquitous applications. The recent technological developments and paradigms such as serverless computing, software-defined networking, Internet of Things, and processing at network edge are creating new opportunities for Cloud computing. However, they are also posing several new challenges and creating the need for new approaches and research strategies, as well as the re-evaluation of the models that were developed to address issues such as scalability, elasticity, reliability, security, sustainability, and application models. The proposed manifesto addresses them by identifying the major open challenges in Cloud computing, emerging trends, and impact areas. It then offers research directions for the next decade, thus helping in the realisation of Future Generation Cloud Computing.","[Rajkumar Buyya, Satish Narayana Srirama, Giuliano Casale, Rodrigo Calheiros, Yogesh Simmhan, Blesson Varghese]",Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),"[Australia, Estonia, UK, Australia, India, UK]",19 November 2018,19,"[University of Melbourne, Parkville, Victoria, Australia, University of Tartu, Ulikooli, Tartu, Estonia, Imperial College London, Huxley, UK, Western Sydney University, Penrith, NSW, Australia, Indian Institute of Science, Nilgiri Marg, Mathikere, Bangalore, India, Queen’s University Belfast, Northern Ireland, UK]",November,ACM Computing Surveys,Q1,ACM Computing Surveys,SURVEY,"[University of Melbourne, University of Tartu, Imperial College London, Western Sydney University, Indian Institute of Science, Queen’s University Belfast]",ACM,2018,63ae010034ac983172e7ec79
"Cyber attacks are increasingly menacing businesses. Based on the literature review and publicly available reports, this article conducts an extensive and consistent survey of the services used by the cybercrime business, organized using the value chain perspective, to understand cyber attack in a systematic way. Understanding the specialization, commercialization, and cooperation for cyber attacks helps us to identify 24 key value-added activities and their relations. These can be offered “as a service” for use in a cyber attack. This framework helps to understand the cybercriminal service ecosystem and hacking innovations. Finally, a few examples are provided showing how this framework can help to build a more cyber immune system, like targeting cybercrime control-points and assigning defense responsibilities to encourage collaboration.","[Keman Huang, Michael Siegel, Stuart Madnick]",Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),"[USA, USA, USA]",06 July 2018,6,"[Massachusetts Institute of Technology, Cambridge, USA, Massachusetts Institute of Technology, Cambridge, USA, Massachusetts Institute of Technology, Cambridge, USA]",July,ACM Computing Surveys,Q1,ACM Computing Surveys,SURVEY,"[Massachusetts Institute of Technology, Massachusetts Institute of Technology, Massachusetts Institute of Technology]",ACM,2018,63ae010034ac983172e7ec7a
"Blockchain offers an innovative approach to storing information, executing transactions, performing functions, and establishing trust in an open environment. Many consider blockchain as a technology breakthrough for cryptography and cybersecurity, with use cases ranging from globally deployed cryptocurrency systems like Bitcoin, to smart contracts, smart grids over the Internet of Things, and so forth. Although blockchain has received growing interests in both academia and industry in the recent years, the security and privacy of blockchains continue to be at the center of the debate when deploying blockchain in different applications. This article presents a comprehensive overview of the security and privacy of blockchain. To facilitate the discussion, we first introduce the notion of blockchains and its utility in the context of Bitcoin-like online transactions. Then, we describe the basic security properties that are supported as the essential requirements and building blocks for Bitcoin-like cryptocurrency systems, followed by presenting the additional security and privacy properties that are desired in many blockchain applications. Finally, we review the security and privacy techniques for achieving these security properties in blockchain-based systems, including representative consensus algorithms, hash chained storage, mixing protocols, anonymous signatures, non-interactive zero-knowledge proof, and so forth. We conjecture that this survey can help readers to gain an in-depth understanding of the security and privacy of blockchain with respect to concept, attributes, techniques, and systems.","[Rui Zhang, Rui Xue, Ling Liu]",Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),"[China, China, GA]",03 July 2019,3,"[State Key Laboratory of Information Security, Institute of Information Engineering, Chinese Academy of Sciences, China and School of Cyber Security, University of Chinese Academy of Sciences, Haidian Dist, Beijing, China, State Key Laboratory of Information Security, Institute of Information Engineering, Chinese Academy of Sciences, China and School of Cyber Security, University of Chinese Academy of Sciences, Haidian Dist, Beijing, China, School of Computer Science, Georgia Institute of Technology, Atlanta, GA]",July,ACM Computing Surveys,Q1,ACM Computing Surveys,SURVEY,"[State Key Laboratory of Information Security, State Key Laboratory of Information Security, School of Computer Science]",ACM,2019,63ae010034ac983172e7ec7b
"Distributed Ledger Technologies (DLTs) and blockchain systems have received enormous academic, government, and commercial interest in recent years. This article surveys the integration of DLTs within another life-changing technology, the Internet of Things (IoT). IoT-based applications, such as smart home, smart transport, supply chain, smart healthcare, and smart energy, promise to boost the efficiency of existing infrastructures and change every facet of our daily life. This article looks into the challenges faced by such applications and reviews a comprehensive selection of existing DLT solutions to those challenges. We also identify issues for future research, including DLT security and scalability, multi-DLT applications, and survival of DLT in the post-quantum world.","[Qingyi Zhu, Seng W. Loke, Rolando Trujillo-Rasua, Frank Jiang, Yong Xiang]",Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),"[Australia, Australia, Australia, Australia, Australia]",14 November 2019,14,"[Chongqing University of Posts and Telecommunications and Deakin University, Melbourne, Australia, Deakin University, Melbourne, Australia, Deakin University, Melbourne, Australia, Deakin University, Melbourne, Australia, Deakin University, Melbourne, Australia]",November,ACM Computing Surveys,Q1,ACM Computing Surveys,SURVEY,"[Chongqing University of Posts and Telecommunications and Deakin University, Deakin University, Deakin University, Deakin University, Deakin University]",ACM,2019,63ae010034ac983172e7ec7c
"Volunteer Computing is a kind of distributed computing that harnesses the aggregated spare computing resources of volunteer devices. It provides a cheaper and greener alternative computing infrastructure that can complement the dedicated, centralized, and expensive data centres. The aggregated idle computing resources of devices ranging from desktop computers to routers and smart TVs are being utilized to provide the much needed computing infrastructure for compute intensive tasks such as scientific simulations and big data analysis. However, the use of Volunteer Computing is still dominated by scientific applications and only a very small fraction of the potential volunteer nodes are participating. This article provides a comprehensive survey of Volunteer Computing, covering key technical and operational issues such as security, task distribution, resource management, and incentive models. The article also presents a taxonomy of Volunteer Computing systems, together with discussions of the characteristics of specific systems in each category. To harness the full potentials of Volunteer Computing and make it a reliable alternative computing infrastructure for general applications, we need to improve the existing techniques and device new mechanisms. Thus, this article also sheds light on important issues regarding the future research and development of Volunteer Computing systems with the aim of making them a viable alternative computing infrastructure.","[Tessema M. Mengistu, Dunren Che]",Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),"[USA, USA]",03 July 2019,3,"[Southern Illinois University Carbondale, Carbondale, IL, USA, Southern Illinois University Carbondale, Carbondale, IL, USA]",July,ACM Computing Surveys,Q1,ACM Computing Surveys,SURVEY,"[Southern Illinois University Carbondale, Southern Illinois University Carbondale]",ACM,2019,63ae010034ac983172e7ec7d
"The challenges of cloud forensics have been well-documented by both researchers and government agencies (e.g., U.S. National Institute of Standards and Technology), although many of the challenges remain unresolved. In this article, we perform a comprehensive survey of cloud forensic literature published between January 2007 and December 2018, categorized using a five-step forensic investigation process. We also present a taxonomy of existing cloud forensic solutions, with the aim of better informing both the research and practitioner communities, as well as an in-depth discussion of existing conventional digital forensic tools and cloud-specific forensic investigation tools. Based on the findings from the survey, we present a set of design guidelines to inform future cloud forensic investigation processes, and a summary of digital artifacts that can be obtained from different stakeholders in the cloud computing architecture/ecosystem.","[Bharat Manral, Gaurav Somani, Kim-Kwang Raymond Choo, Mauro Conti]",Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),"[India, India, USA, Italy]",14 November 2019,14,"[Central University of Rajasthan, Ajmer, India, Central University of Rajasthan, Ajmer, India, University of Texas at San Antonio, San Antonio, TX, USA, University of Padua, Padua, Veneto, Italy]",November,ACM Computing Surveys,Q1,ACM Computing Surveys,SURVEY,"[Central University of Rajasthan, Central University of Rajasthan, University of Texas at San Antonio, University of Padua]",ACM,2019,63ae010034ac983172e7ec7e
"Autonomous systems will soon be integrating into our lives as home assistants, delivery drones, and driverless cars. The implementation of the level of automation in these systems from being manually controlled to fully autonomous would depend upon the autonomy approach chosen to design these systems. This article reviews the historical evolution of autonomy, its approaches, and the current trends in related fields to build robust autonomous systems. Toward such a goal and with the increased number of cyberattacks, the security of these systems needs special attention from the research community. To gauge the extent to which research has been done in this area, we discuss the cybersecurity of these systems. It is essential to model the system from a security perspective, identify the threats and vulnerabilities, and then model the attacks. A survey in this direction explores the theoretical/analytical system and attack models that have been proposed over the years and identifies the research gap that needs to be addressed by the research community.","[Farha Jahan, Weiqing Sun, Quamar Niyaz, Mansoor Alam]",Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),"[OH, OH, IN, OH]",13 September 2019,13,"[University of Toledo, Toledo, OH, University of Toledo, Toledo, OH, Purdue University Northwest, Hammond, IN, University of Toledo, Toledo, OH]",September,ACM Computing Surveys,Q1,ACM Computing Surveys,SURVEY,"[University of Toledo, University of Toledo, Purdue University Northwest, University of Toledo]",ACM,2019,63ae010034ac983172e7ec7f
"Contrary to using distant and centralized cloud data center resources, employing decentralized resources at the edge of a network for processing data closer to user devices, such as smartphones and tablets, is an upcoming computing paradigm, referred to as fog/edge computing. Fog/edge resources are typically resource-constrained, heterogeneous, and dynamic compared to the cloud, thereby making resource management an important challenge that needs to be addressed. This article reviews publications as early as 1991, with 85% of the publications between 2013 and 2018, to identify and classify the architectures, infrastructure, and underlying algorithms for managing resources in fog/edge computing.","[Cheol-Ho Hong, Blesson Varghese]",Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),"[South Korea, United Kingdom]",13 September 2019,13,"[Chung-Ang University, Seoul, South Korea, Queen’s University Belfast, United Kingdom]",September,ACM Computing Surveys,Q1,ACM Computing Surveys,SURVEY,"[Chung-Ang University, Queen’s University Belfast]",ACM,2019,63ae010034ac983172e7ec80
