Rank;Sourceid;Title;Issn;SJR;SJR Best Quartile;Year;Categories
1;28773;Ca-A Cancer Journal for Clinicians;15424863, 00079235;43,002;Q1;2016;"Hematology (Q1); Oncology (Q1)"
2;18991;Nature Reviews Genetics;14710056, 14710064;34,247;Q1;2016;"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
3;21318;Nature Reviews Immunology;14741741, 14741733;30,644;Q1;2016;"Immunology (Q1); Medicine (miscellaneous) (Q1)"
4;20315;Nature Reviews Molecular Cell Biology;14710072, 14710080;29,697;Q1;2016;"Cell Biology (Q1); Molecular Biology (Q1)"
5;20651;Annual Review of Immunology;15453278, 07320582;28,577;Q1;2016;"Immunology (Q1); Immunology and Allergy (Q1)"
6;18434;Cell;00928674, 10974172;27,691;Q1;2016;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
7;29431;Quarterly Journal of Economics;00335533, 15314650;26,137;Q1;2016;Economics and Econometrics (Q1)
8;19434;MMWR Recommendations and Reports;10575987, 15458601;24,501;Q1;2016;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
9;12464;Nature Reviews Cancer;1474175X, 14741768;22,315;Q1;2016;"Cancer Research (Q1); Oncology (Q1)"
10;18990;Nature Genetics;10614036, 15461718;21,979;Q1;2016;Genetics (Q1)
11;17500;Journal of Finance;00221082, 15406261;21,367;Q1;2016;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
12;29719;Reviews of Modern Physics;00346861, 15390756;21,137;Q1;2016;Physics and Astronomy (miscellaneous) (Q1)
13;16115;Nature Biotechnology;15461696, 10870156;20,666;Q1;2016;"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1)"
14;58530;National Vital Statistics Reports;15518922, 15518930;20,52;Q1;2016;Life-span and Life-course Studies (Q1)
15;21100778827;Nature Methods;15487091, 15487105;20,494;Q1;2016;"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Molecular Biology (Q1)"
16;16801;Annual Review of Biochemistry;15454509, 00664154;20,325;Q1;2016;Biochemistry (Q1)
17;23340;Chemical Reviews;15206890, 00092665;19,51;Q1;2016;Chemistry (miscellaneous) (Q1)
18;5200152704;Nature Nanotechnology;17483387, 17483395;18,916;Q1;2016;"Atomic and Molecular Physics, and Optics (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)"
19;17437;Nature Reviews Neuroscience;14710048, 1471003X;18,475;Q1;2016;Neuroscience (miscellaneous) (Q1)
20;21206;Nature;14764687, 00280836;18,389;Q1;2016;Multidisciplinary (Q1)
21;17854;Nature Materials;14764660, 14761122;18,013;Q1;2016;"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
22;15847;New England Journal of Medicine;00284793, 15334406;18,009;Q1;2016;Medicine (miscellaneous) (Q1)
23;24004;Physiological Reviews;15221210, 00319333;17,282;Q1;2016;"Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Physiology (Q1); Physiology (medical) (Q1)"
24;20798;Immunity;10974180, 10747613;16,957;Q1;2016;"Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1)"
25;5700165152;Nature Photonics;17494885;15,689;Q1;2016;"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)"
26;24202;Review of Economic Studies;00346527, 1467937X;15,452;Q1;2016;Economics and Econometrics (Q1)
27;19900191906;Academy of Management Annals;19416520, 19416067;15,442;Q1;2016;"Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1)"
28;20313;Nature Reviews Microbiology;17401534, 17401526;15,351;Q1;2016;Immunology and Microbiology (miscellaneous)  (Q1)
29;21315;Nature Immunology;15292908, 15292916;15,21;Q1;2016;Immunology (Q1)
30;23350;Chemical Society Reviews;03060012, 14604744;15,026;Q1;2016;Chemistry (miscellaneous) (Q1)
31;15819;Nature Medicine;1546170X, 10788956;14,994;Q1;2016;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
32;19482;Econometrica;00129682, 14680262;14,858;Q1;2016;Economics and Econometrics (Q1)
33;17436;Nature Neuroscience;10976256, 15461726;14,773;Q1;2016;Neuroscience (miscellaneous) (Q1)
34;19014;Nature Cell Biology;14764679, 14657392;14,696;Q1;2016;Cell Biology (Q1)
35;16721;Annual Review of Plant Biology;15452123, 15435008;14,404;Q1;2016;"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1); Plant Science (Q1)"
36;12354;Lancet Oncology, The;14702045, 14745488;14,07;Q1;2016;Oncology (Q1)
37;6100153018;Cell Stem Cell;19345909;14,045;Q1;2016;"Cell Biology (Q1); Genetics (Q1); Molecular Medicine (Q1)"
38;24404;Journal of Political Economy;00223808, 1537534X;13,887;Q1;2016;Economics and Econometrics (Q1)
39;23571;Science;10959203, 00368075;13,745;Q1;2016;"History and Philosophy of Science (Q1); Multidisciplinary (Q1)"
40;18606;Molecular Cell;10974164, 10972765;13,619;Q1;2016;"Cell Biology (Q1); Molecular Biology (Q1)"
41;14181;Annual Review of Neuroscience;0147006X, 15454126;13,568;Q1;2016;Neuroscience (miscellaneous) (Q1)
42;16161;Review of Financial Studies;14657368, 08939454;13,545;Q1;2016;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
43;29093;Cancer Cell;15356108, 18783686;13,509;Q1;2016;"Cancer Research (Q1); Cell Biology (Q1); Oncology (Q1)"
44;4000151822;Nature Physics;17452473;13,412;Q1;2016;Physics and Astronomy (miscellaneous) (Q1)
45;24379;Journal of Financial Economics;0304405X;13,348;Q1;2016;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)"
46;11300153736;Annual Review of Pathology: Mechanisms of Disease;15534006, 15534014;13,234;Q1;2016;"Medicine (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1); Plant Science (Q1)"
47;18395;Annual Review of Cell and Developmental Biology;15308995, 10810706;13,122;Q1;2016;"Cell Biology (Q1); Developmental Biology (Q1)"
48;19900191885;American Economic Journal: Macroeconomics;19457707, 19457715;13,017;Q1;2016;Economics, Econometrics and Finance (miscellaneous) (Q1)
49;16590;Lancet, The;01406736, 1474547X;12,97;Q1;2016;Medicine (miscellaneous) (Q1)
50;12010;Annual Review of Psychology;00664308, 15452085;12,78;Q1;2016;Psychology (miscellaneous) (Q1)
51;18100156701;Nature Chemistry;17554330, 17554349;12,648;Q1;2016;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)"
52;20425;Nature Reviews Drug Discovery;14741784, 14741776;12,597;Q1;2016;"Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1)"
53;22214;Genome Research;15495469, 10889051;12,594;Q1;2016;"Genetics (Q1); Genetics (clinical) (Q1)"
54;17500155114;Energy and Environmental Science;17545692, 17545706;12,283;Q1;2016;"Environmental Chemistry (Q1); Nuclear Energy and Engineering (Q1); Pollution (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
55;21706;Annual Review of Genetics;15452948, 00664197;12,23;Q1;2016;Genetics (Q1)
56;22401;Journal of the American College of Cardiology;15583597, 07351097;12,02;Q1;2016;Cardiology and Cardiovascular Medicine (Q1)
57;16860;Lancet Neurology, The;14744465, 14744422;11,788;Q1;2016;Neurology (clinical) (Q1)
58;146172;Cell Metabolism;15504131;11,675;Q1;2016;"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1)"
59;17978;Neuron;10974199, 08966273;11,671;Q1;2016;Neuroscience (miscellaneous) (Q1)
60;12394;Nature Structural and Molecular Biology;15459993, 15459985;11,42;Q1;2016;"Molecular Biology (Q1); Structural Biology (Q1)"
61;22471;Lancet Infectious Diseases, The;14744457, 14733099;11,218;Q1;2016;Infectious Diseases (Q1)
62;40944;Genome Biology;14747596;11,203;Q1;2016;"Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
63;22697;American Economic Review;28282;11,101;Q1;2016;Economics and Econometrics (Q1)
64;16036;Administrative Science Quarterly;00018392, 19303815;11,093;Q1;2016;"Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
65;20191;Academy of Management Journal;14273;10,97;Q1;2016;"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
66;22657;Accounts of Chemical Research;00014842, 15204898;10,923;Q1;2016;"Chemistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
67;19900191767;American Economic Journal: Applied Economics;19457790, 19457782;10,74;Q1;2016;Economics, Econometrics and Finance (miscellaneous) (Q1)
68;24668;Journal of the American Mathematical Society;10886834, 08940347;10,724;Q1;2016;"Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1)"
69;19700188417;Annual Review of Condensed Matter Physics;19475454, 19475462;10,549;Q1;2016;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1)"
70;19066;Trends in Cell Biology;09628924, 18793088;10,411;Q1;2016;Cell Biology (Q1)
71;22126;Genes and Development;15495477, 08909369;10,399;Q1;2016;"Developmental Biology (Q1); Genetics (Q1)"
72;21272;Journal of Experimental Medicine;00221007, 15409538;10,386;Q1;2016;"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)"
73;19651;Clinical Microbiology Reviews;08938512, 10986618;10,269;Q1;2016;"Epidemiology (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1); Public Health, Environmental and Occupational Health (Q1)"
74;120008;Annual Review of Physiology;00664278, 15451585;10,169;Q1;2016;Physiology (Q1)
75;15555;American Journal of Political Science;00925853, 15405907;10,088;Q1;2016;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
76;26978;Advances in Physics;14606976, 00018732;10,08;Q1;2016;Condensed Matter Physics (Q1)
77;14816;Trends in Biochemical Sciences;13624326, 03765067, 09680004;10,032;Q1;2016;"Biochemistry (Q1); Molecular Biology (Q1)"
78;20278;Microbiology and Molecular Biology Reviews;10985557, 10922172;9,916;Q1;2016;"Immunology and Microbiology (miscellaneous)  (Q1); Molecular Biology (Q1)"
79;12000154482;Annual Review of Biophysics;19361238, 1936122X;9,907;Q1;2016;"Biochemistry (Q1); Bioengineering (Q1); Biophysics (Q1); Cell Biology (Q1); Structural Biology (Q1)"
80;5800207366;Nature Protocols;17542189;9,637;Q1;2016;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
81;5400152633;NIH consensus and state-of-the-science statements;15530779, 15530957;9,569;Q1;2016;Medicine (miscellaneous) (Q1)
82;13443;Psychological Bulletin;00332909, 19391455;9,348;Q1;2016;"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)"
83;28677;Living Reviews in Relativity;14338351, 23673613;9,329;Q1;2016;Physics and Astronomy (miscellaneous) (Q1)
84;14365;Trends in Ecology and Evolution;01695347, 18728383;9,304;Q1;2016;Ecology, Evolution, Behavior and Systematics (Q1)
85;27165;Journal of Economic Literature;220515;9,272;Q1;2016;Economics and Econometrics (Q1)
86;19700174677;Science Translational Medicine;19466234, 19466242;9,264;Q1;2016;Medicine (miscellaneous) (Q1)
87;17899;Progress in Materials Science;18732208, 00796425;9,256;Q1;2016;Materials Science (miscellaneous) (Q1)
88;24721;Annals of Mathematics;0003486X;9,196;Q1;2016;"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
89;19881;Advanced Materials;09359648, 15214095;9,184;Q1;2016;"Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Nanoscience and Nanotechnology (Q1)"
90;21100228100;Advances in Optics and Photonics;19438206;9,182;Q1;2016;"Atomic and Molecular Physics, and Optics (Q1); Water Science and Technology (Q1)"
91;21100228547;JAMA Psychiatry;21686238, 2168622X;9,175;Q1;2016;"Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
92;29949;Journal of Clinical Oncology;15277755, 0732183X;9,1;Q1;2016;"Cancer Research (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)"
93;17814;Materials Science and Engineering: R: Reports;0927796X;9,065;Q1;2016;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
94;21100237403;Lancet Diabetes and Endocrinology,The;22138595, 22138587;8,958;Q1;2016;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)"
95;4000148205;Nature Chemical Biology;15524469, 15524450;8,946;Q1;2016;"Cell Biology (Q1); Molecular Biology (Q1)"
96;12216;Molecular Biology and Evolution;15371719, 07374038;8,935;Q1;2016;"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Molecular Biology (Q1)"
97;73008;Vital and health statistics. Series 2, Data evaluation and methods research;00832057, 23330872;8,927;Q1;2016;"Health Information Management (Q1); Medicine (miscellaneous) (Q1); Statistics and Probability (Q1)"
98;71056;MMWR Surveillance Summaries;15458636, 15460738;8,881;Q1;2016;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
99;19900191884;American Economic Journal: Economic Policy;19457731, 1945774X;8,851;Q1;2016;Economics, Econometrics and Finance (miscellaneous) (Q1)
100;22581;Circulation;00097322, 15244539;8,835;Q1;2016;"Cardiology and Cardiovascular Medicine (Q1); Physiology (medical) (Q1)"
101;4700152228;Molecular Systems Biology;17444292;8,774;Q1;2016;"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)"
102;5300152732;Cell Host and Microbe;19313128;8,633;Q1;2016;"Cancer Research (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Microbiology (Q1); Molecular Biology (Q1); Parasitology (Q1); Virology (Q1)"
103;15359;Trends in Cognitive Sciences;1879307X, 13646613;8,49;Q1;2016;"Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Neuropsychology and Physiological Psychology (Q1)"
104;20206;Academy of Management Review;3637425;8,437;Q1;2016;"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
105;21100198409;Nature Climate Change;17586798, 1758678X;8,433;Q1;2016;"Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)"
106;21100201068;Cell Reports;22111247;8,337;Q1;2016;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
107;26465;Progress in Polymer Science;796700;8,318;Q1;2016;"Ceramics and Composites (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1); Surfaces and Interfaces (Q1)"
108;15870;Journal of Clinical Investigation;00219738, 15588238;8,31;Q1;2016;Medicine (miscellaneous) (Q1)
109;19479;Annual Review of Pharmacology and Toxicology;15454304, 03621642;8,284;Q1;2016;"Pharmacology (Q1); Toxicology (Q1)"
110;7500153126;Journal of the European Economic Association;15424774, 15424766;8,113;Q1;2016;Economics, Econometrics and Finance (miscellaneous) (Q1)
111;4600151524;Annual Review of Clinical Psychology;15485951, 15485943;8,058;Q1;2016;"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
112;21191;Pharmacological Reviews;15210081, 00316997;8,051;Q1;2016;"Molecular Medicine (Q1); Pharmacology (Q1)"
113;24527;Acta Mathematica;15962;8,046;Q1;2016;Mathematics (miscellaneous) (Q1)
114;29838;Journal of Accounting and Economics;1654101;8,04;Q1;2016;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
115;19049;Trends in Genetics;01689525, 13624555;8,029;Q1;2016;Genetics (Q1)
116;26555;Annual Review of Physical Chemistry;0066426X, 15451593;8,017;Q1;2016;Physical and Theoretical Chemistry (Q1)
117;19700176402;Cold Spring Harbor perspectives in biology;19430264;7,995;Q1;2016;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
118;23157;Strategic Management Journal;10970266, 01432095;7,979;Q1;2016;"Business and International Management (Q1); Strategy and Management (Q1)"
119;18503;Current Opinion in Cell Biology;09550674, 18790410;7,968;Q1;2016;Cell Biology (Q1)
120;21100265444;Lancet Global Health,The;2214109X;7,926;Q1;2016;Medicine (miscellaneous) (Q1)
121;17853;Nano Letters;15306992, 15306984;7,893;Q1;2016;"Bioengineering (Q1); Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Nanoscience and Nanotechnology (Q1)"
122;14204;Nucleic Acids Research;03051048, 13624962;7,883;Q1;2016;Genetics (Q1)
123;15557;American Political Science Review;15375943, 00030554;7,869;Q1;2016;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
