Rank;Sourceid;Title;Issn;SJR;Year;SJR Best Quartile;Categories
1;28773;Ca-A Cancer Journal for Clinicians;15424863, 00079235;56,204;2021;Q1;"Hematology (Q1); Oncology (Q1)"
2;20315;Nature Reviews Molecular Cell Biology;14710072, 14710080;33,213;2021;Q1;"Cell Biology (Q1); Molecular Biology (Q1)"
3;29431;Quarterly Journal of Economics;00335533, 15314650;31,348;2021;Q1;Economics and Econometrics (Q1)
4;18434;Cell;00928674, 10974172;25,716;2021;Q1;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
5;19434;MMWR Recommendations and Reports;10575987, 15458601;25,045;2021;Q1;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
6;15847;New England Journal of Medicine;00284793, 15334406;24,907;2021;Q1;Medicine (miscellaneous) (Q1)
7;15819;Nature Medicine;1546170X, 10788956;24,161;2021;Q1;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
8;21100812243;Nature Reviews Materials;20588437;23,876;2021;Q1;"Biomaterials (Q1); Electronic, Optical and Magnetic Materials (Q1); Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Surfaces, Coatings and Films (Q1)"
9;18991;Nature Reviews Genetics;14710056, 14710064;23,027;2021;Q1;"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
10;58530;National Vital Statistics Reports;15518922, 15518930;21,728;2021;Q1;Life-span and Life-course Studies (Q1)
11;29719;Reviews of Modern Physics;00346861, 15390756;21,151;2021;Q1;Physics and Astronomy (miscellaneous) (Q1)
12;22697;American Economic Review;28282;20,361;2021;Q1;Economics and Econometrics (Q1)
13;16115;Nature Biotechnology;15461696, 10870156;20,12;2021;Q1;"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1)"
14;23340;Chemical Reviews;15206890, 00092665;18,718;2021;Q1;Chemistry (miscellaneous) (Q1)
15;24404;Journal of Political Economy;00223808, 1537534X;18,476;2021;Q1;Economics and Econometrics (Q1)
16;21206;Nature;14764687, 00280836;17,897;2021;Q1;Multidisciplinary (Q1)
17;20651;Annual Review of Immunology;15453278, 07320582;17,814;2021;Q1;"Immunology (Q1); Immunology and Allergy (Q1)"
18;16036;Administrative Science Quarterly;00018392, 19303815;17,357;2021;Q1;"Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
19;21318;Nature Reviews Immunology;14741741, 14741733;17,109;2021;Q1;"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)"
20;12464;Nature Reviews Cancer;1474175X, 14741768;16,955;2021;Q1;"Cancer Research (Q1); Oncology (Q1)"
21;21100812579;Nature Energy;20587546;16,736;2021;Q1;"Electronic, Optical and Magnetic Materials (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
22;18990;Nature Genetics;10614036, 15461718;16,517;2021;Q1;Genetics (Q1)
23;110092;Morbidity and Mortality Weekly Report;01492195, 1545861X;16,513;2021;Q1;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
24;17500;Journal of Finance;00221082, 15406261;16,463;2021;Q1;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
25;16590;Lancet, The;01406736, 1474547X;15,652;2021;Q1;Medicine (miscellaneous) (Q1)
26;24202;Review of Economic Studies;00346527, 1467937X;15,527;2021;Q1;Economics and Econometrics (Q1)
27;19900191906;Academy of Management Annals;19416520, 19416067;14,781;2021;Q1;"Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1)"
28;23571;Science;10959203, 00368075;14,589;2021;Q1;"History and Philosophy of Science (Q1); Multidisciplinary (Q1)"
29;23350;Chemical Society Reviews;03060012, 14604744;14,529;2021;Q1;Chemistry (miscellaneous) (Q1)
30;20798;Immunity;10974180, 10747613;14,075;2021;Q1;"Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1)"
31;17900156715;IEEE Communications Surveys and Tutorials;1553877X;13,519;2021;Q1;Electrical and Electronic Engineering (Q1)
32;21101041613;Lancet Microbe, The;26665247;13,313;2021;Q1;"Infectious Diseases (Q1); Microbiology (Q1); Microbiology (medical) (Q1); Virology (Q1)"
33;19300156903;Foundations and Trends in Machine Learning;19358245, 19358237;13,206;2021;Q1;"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1)"
34;19482;Econometrica;00129682, 14680262;13,199;2021;Q1;Economics and Econometrics (Q1)
35;16801;Annual Review of Biochemistry;15454509, 00664154;13,085;2021;Q1;Biochemistry (Q1)
36;24004;Physiological Reviews;15221210, 00319333;13,021;2021;Q1;"Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Physiology (Q1); Physiology (medical) (Q1)"
37;6200180159;World Psychiatry;17238617;12,991;2021;Q1;Psychiatry and Mental Health (Q1)
38;21100862548;Nature Catalysis;25201158;12,887;2021;Q1;"Biochemistry (Q1); Bioengineering (Q1); Catalysis (Q1); Process Chemistry and Technology (Q1)"
39;28677;Living Reviews in Relativity;14338351, 23673613;12,365;2021;Q1;Physics and Astronomy (miscellaneous) (Q1)
40;17854;Nature Materials;14764660, 14761122;12,229;2021;Q1;"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
41;21100778827;Nature Methods;15487091, 15487105;12,115;2021;Q1;"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Molecular Biology (Q1)"
42;17436;Nature Neuroscience;10976256, 15461726;12,017;2021;Q1;Neuroscience (miscellaneous) (Q1)
43;21100860945;Science immunology;24709468;11,962;2021;Q1;"Immunology (Q1); Immunology and Allergy (Q1)"
